Comunidades y ciudades autónomas de residencia;Sexo;Edad;Total
Andalucía;Ambos sexos;Todas las edades;653
Andalucía;Ambos sexos;Menores de 15 años;1
Andalucía;Ambos sexos;De 15 a 29 años;51
Andalucía;Ambos sexos;De 30 a 39 años;79
Andalucía;Ambos sexos;De 40 a 44 años;71
Andalucía;Ambos sexos;De 45 a 49 años;70
Andalucía;Ambos sexos;De 50 a 54 años;76
Andalucía;Ambos sexos;De 55 a 59 años;71
Andalucía;Ambos sexos;De 60 a 64 años;44
Andalucía;Ambos sexos;De 65 a 69 años;42
Andalucía;Ambos sexos;De 70 a 74 años;41
Andalucía;Ambos sexos;De 75 a 79 años;27
Andalucía;Ambos sexos;De 80 a 84 años;41
Andalucía;Ambos sexos;De 85 a 89 años;31
Andalucía;Ambos sexos;De 90 a 94 años;7
Andalucía;Ambos sexos;De 95 años y más;1
Andalucía;Hombres;Todas las edades;505
Andalucía;Hombres;Menores de 15 años;1
Andalucía;Hombres;De 15 a 29 años;45
Andalucía;Hombres;De 30 a 39 años;65
Andalucía;Hombres;De 40 a 44 años;51
Andalucía;Hombres;De 45 a 49 años;58
Andalucía;Hombres;De 50 a 54 años;56
Andalucía;Hombres;De 55 a 59 años;54
Andalucía;Hombres;De 60 a 64 años;30
Andalucía;Hombres;De 65 a 69 años;29
Andalucía;Hombres;De 70 a 74 años;29
Andalucía;Hombres;De 75 a 79 años;21
Andalucía;Hombres;De 80 a 84 años;32
Andalucía;Hombres;De 85 a 89 años;26
Andalucía;Hombres;De 90 a 94 años;7
Andalucía;Hombres;De 95 años y más;1
Andalucía;Mujeres;Todas las edades;148
Andalucía;Mujeres;Menores de 15 años;0
Andalucía;Mujeres;De 15 a 29 años;6
Andalucía;Mujeres;De 30 a 39 años;14
Andalucía;Mujeres;De 40 a 44 años;20
Andalucía;Mujeres;De 45 a 49 años;12
Andalucía;Mujeres;De 50 a 54 años;20
Andalucía;Mujeres;De 55 a 59 años;17
Andalucía;Mujeres;De 60 a 64 años;14
Andalucía;Mujeres;De 65 a 69 años;13
Andalucía;Mujeres;De 70 a 74 años;12
Andalucía;Mujeres;De 75 a 79 años;6
Andalucía;Mujeres;De 80 a 84 años;9
Andalucía;Mujeres;De 85 a 89 años;5
Andalucía;Mujeres;De 90 a 94 años;0
Andalucía;Mujeres;De 95 años y más;0
Aragón;Ambos sexos;Todas las edades;120
Aragón;Ambos sexos;Menores de 15 años;0
Aragón;Ambos sexos;De 15 a 29 años;7
Aragón;Ambos sexos;De 30 a 39 años;15
Aragón;Ambos sexos;De 40 a 44 años;14
Aragón;Ambos sexos;De 45 a 49 años;14
Aragón;Ambos sexos;De 50 a 54 años;12
Aragón;Ambos sexos;De 55 a 59 años;10
Aragón;Ambos sexos;De 60 a 64 años;12
Aragón;Ambos sexos;De 65 a 69 años;7
Aragón;Ambos sexos;De 70 a 74 años;7
Aragón;Ambos sexos;De 75 a 79 años;6
Aragón;Ambos sexos;De 80 a 84 años;5
Aragón;Ambos sexos;De 85 a 89 años;8
Aragón;Ambos sexos;De 90 a 94 años;2
Aragón;Ambos sexos;De 95 años y más;1
Aragón;Hombres;Todas las edades;95
Aragón;Hombres;Menores de 15 años;0
Aragón;Hombres;De 15 a 29 años;5
Aragón;Hombres;De 30 a 39 años;11
Aragón;Hombres;De 40 a 44 años;12
Aragón;Hombres;De 45 a 49 años;10
Aragón;Hombres;De 50 a 54 años;10
Aragón;Hombres;De 55 a 59 años;8
Aragón;Hombres;De 60 a 64 años;8
Aragón;Hombres;De 65 a 69 años;6
Aragón;Hombres;De 70 a 74 años;6
Aragón;Hombres;De 75 a 79 años;6
Aragón;Hombres;De 80 a 84 años;4
Aragón;Hombres;De 85 a 89 años;6
Aragón;Hombres;De 90 a 94 años;2
Aragón;Hombres;De 95 años y más;1
Aragón;Mujeres;Todas las edades;25
Aragón;Mujeres;Menores de 15 años;0
Aragón;Mujeres;De 15 a 29 años;2
Aragón;Mujeres;De 30 a 39 años;4
Aragón;Mujeres;De 40 a 44 años;2
Aragón;Mujeres;De 45 a 49 años;4
Aragón;Mujeres;De 50 a 54 años;2
Aragón;Mujeres;De 55 a 59 años;2
Aragón;Mujeres;De 60 a 64 años;4
Aragón;Mujeres;De 65 a 69 años;1
Aragón;Mujeres;De 70 a 74 años;1
Aragón;Mujeres;De 75 a 79 años;0
Aragón;Mujeres;De 80 a 84 años;1
Aragón;Mujeres;De 85 a 89 años;2
Aragón;Mujeres;De 90 a 94 años;0
Aragón;Mujeres;De 95 años y más;0
Asturias, Principado de;Ambos sexos;Todas las edades;138
Asturias, Principado de;Ambos sexos;Menores de 15 años;0
Asturias, Principado de;Ambos sexos;De 15 a 29 años;5
Asturias, Principado de;Ambos sexos;De 30 a 39 años;8
Asturias, Principado de;Ambos sexos;De 40 a 44 años;9
Asturias, Principado de;Ambos sexos;De 45 a 49 años;14
Asturias, Principado de;Ambos sexos;De 50 a 54 años;12
Asturias, Principado de;Ambos sexos;De 55 a 59 años;12
