Nacional;Comunidades y Ciudades Autónomas;Sexo;Edad;Total
Total Nacional;Andalucía;Ambos sexos;Todas las edades;849
Total Nacional;Andalucía;Ambos sexos;Menores de 15 años;2
Total Nacional;Andalucía;Ambos sexos;De 15 a 29 años;59
Total Nacional;Andalucía;Ambos sexos;De 30 a 39 años;91
Total Nacional;Andalucía;Ambos sexos;De 40 a 44 años;79
Total Nacional;Andalucía;Ambos sexos;De 45 a 49 años;100
Total Nacional;Andalucía;Ambos sexos;De 50 a 54 años;99
Total Nacional;Andalucía;Ambos sexos;De 55 a 59 años;80
Total Nacional;Andalucía;Ambos sexos;De 60 a 64 años;79
Total Nacional;Andalucía;Ambos sexos;De 65 a 69 años;46
Total Nacional;Andalucía;Ambos sexos;De 70 a 74 años;47
Total Nacional;Andalucía;Ambos sexos;De 75 a 79 años;62
Total Nacional;Andalucía;Ambos sexos;De 80 a 84 años;61
Total Nacional;Andalucía;Ambos sexos;De 85 a 89 años;28
Total Nacional;Andalucía;Ambos sexos;De 90 a 94 años;14
Total Nacional;Andalucía;Ambos sexos;De 95 años y más;2
Total Nacional;Andalucía;Hombres;Todas las edades;661
Total Nacional;Andalucía;Hombres;Menores de 15 años;1
Total Nacional;Andalucía;Hombres;De 15 a 29 años;45
Total Nacional;Andalucía;Hombres;De 30 a 39 años;71
Total Nacional;Andalucía;Hombres;De 40 a 44 años;64
Total Nacional;Andalucía;Hombres;De 45 a 49 años;77
Total Nacional;Andalucía;Hombres;De 50 a 54 años;71
Total Nacional;Andalucía;Hombres;De 55 a 59 años;62
Total Nacional;Andalucía;Hombres;De 60 a 64 años;63
Total Nacional;Andalucía;Hombres;De 65 a 69 años;33
Total Nacional;Andalucía;Hombres;De 70 a 74 años;36
Total Nacional;Andalucía;Hombres;De 75 a 79 años;51
Total Nacional;Andalucía;Hombres;De 80 a 84 años;48
Total Nacional;Andalucía;Hombres;De 85 a 89 años;26
Total Nacional;Andalucía;Hombres;De 90 a 94 años;11
Total Nacional;Andalucía;Hombres;De 95 años y más;2
