Nacional;Comunidades y Ciudades Autonomas;Causas (lista reducida);Sexo;Edad;Total
Total Nacional;Andalucia; Suicidio y lesiones autoinfligidas;Ambos sexos;Todas las edades;380
Total Nacional;Andalucia; Suicidio y lesiones autoinfligidas;Ambos sexos;Menores de 1 año;0
Total Nacional;Andalucia; Suicidio y lesiones autoinfligidas;Ambos sexos;De 1 a 14 años;1
Total Nacional;Andalucia; Suicidio y lesiones autoinfligidas;Ambos sexos;De 15 a 29 años;14
Total Nacional;Andalucia; Suicidio y lesiones autoinfligidas;Ambos sexos;De 30 a 39 años;45
Total Nacional;Andalucia; Suicidio y lesiones autoinfligidas;Ambos sexos;De 40 a 44 años;23
Total Nacional;Andalucia; Suicidio y lesiones autoinfligidas;Ambos sexos;De 45 a 49 años;34
Total Nacional;Andalucia; Suicidio y lesiones autoinfligidas;Ambos sexos;De 50 a 54 años;49
Total Nacional;Andalucia; Suicidio y lesiones autoinfligidas;Ambos sexos;De 55 a 59 años;57
Total Nacional;Andalucia; Suicidio y lesiones autoinfligidas;Ambos sexos;De 60 a 64 años;41
Total Nacional;Andalucia; Suicidio y lesiones autoinfligidas;Ambos sexos;De 65 a 69 años;26
Total Nacional;Andalucia; Suicidio y lesiones autoinfligidas;Ambos sexos;De 70 a 74 años;24
Total Nacional;Andalucia; Suicidio y lesiones autoinfligidas;Ambos sexos;De 75 a 79 años;23
Total Nacional;Andalucia; Suicidio y lesiones autoinfligidas;Ambos sexos;De 80 a 84 años;11
Total Nacional;Andalucia; Suicidio y lesiones autoinfligidas;Ambos sexos;De 85 a 89 años;19
Total Nacional;Andalucia; Suicidio y lesiones autoinfligidas;Ambos sexos;De 90 a 94 años;12
Total Nacional;Andalucia; Suicidio y lesiones autoinfligidas;Ambos sexos;De 95 años y mas;1
Total Nacional;Andalucia; Suicidio y lesiones autoinfligidas;Hombres;Todas las edades;294
Total Nacional;Andalucia; Suicidio y lesiones autoinfligidas;Hombres;Menores de 1 año;0
Total Nacional;Andalucia; Suicidio y lesiones autoinfligidas;Hombres;De 1 a 14 años;1
Total Nacional;Andalucia; Suicidio y lesiones autoinfligidas;Hombres;De 15 a 29 años;9
Total Nacional;Andalucia; Suicidio y lesiones autoinfligidas;Hombres;De 30 a 39 años;37
Total Nacional;Andalucia; Suicidio y lesiones autoinfligidas;Hombres;De 40 a 44 años;18
Total Nacional;Andalucia; Suicidio y lesiones autoinfligidas;Hombres;De 45 a 49 años;30
Total Nacional;Andalucia; Suicidio y lesiones autoinfligidas;Hombres;De 50 a 54 años;38
Total Nacional;Andalucia; Suicidio y lesiones autoinfligidas;Hombres;De 55 a 59 años;37
Total Nacional;Andalucia; Suicidio y lesiones autoinfligidas;Hombres;De 60 a 64 años;34
Total Nacional;Andalucia; Suicidio y lesiones autoinfligidas;Hombres;De 65 a 69 años;20
Total Nacional;Andalucia; Suicidio y lesiones autoinfligidas;Hombres;De 70 a 74 años;18
Total Nacional;Andalucia; Suicidio y lesiones autoinfligidas;Hombres;De 75 a 79 años;17
Total Nacional;Andalucia; Suicidio y lesiones autoinfligidas;Hombres;De 80 a 84 años;8
Total Nacional;Andalucia; Suicidio y lesiones autoinfligidas;Hombres;De 85 a 89 años;16
Total Nacional;Andalucia; Suicidio y lesiones autoinfligidas;Hombres;De 90 a 94 años;10
Total Nacional;Andalucia; Suicidio y lesiones autoinfligidas;Hombres;De 95 años y mas;1
Total Nacional;Andalucia; Suicidio y lesiones autoinfligidas;Mujeres;Todas las edades;86
Total Nacional;Andalucia; Suicidio y lesiones autoinfligidas;Mujeres;Menores de 1 año;0
Total Nacional;Andalucia; Suicidio y lesiones autoinfligidas;Mujeres;De 1 a 14 años;0
Total Nacional;Andalucia; Suicidio y lesiones autoinfligidas;Mujeres;De 15 a 29 años;5
Total Nacional;Andalucia; Suicidio y lesiones autoinfligidas;Mujeres;De 30 a 39 años;8
Total Nacional;Andalucia; Suicidio y lesiones autoinfligidas;Mujeres;De 40 a 44 años;5
Total Nacional;Andalucia; Suicidio y lesiones autoinfligidas;Mujeres;De 45 a 49 años;4
Total Nacional;Andalucia; Suicidio y lesiones autoinfligidas;Mujeres;De 50 a 54 años;11
Total Nacional;Andalucia; Suicidio y lesiones autoinfligidas;Mujeres;De 55 a 59 años;20
Total Nacional;Andalucia; Suicidio y lesiones autoinfligidas;Mujeres;De 60 a 64 años;7
Total Nacional;Andalucia; Suicidio y lesiones autoinfligidas;Mujeres;De 65 a 69 años;6
Total Nacional;Andalucia; Suicidio y lesiones autoinfligidas;Mujeres;De 70 a 74 años;6
Total Nacional;Andalucia; Suicidio y lesiones autoinfligidas;Mujeres;De 75 a 79 años;6
Total Nacional;Andalucia; Suicidio y lesiones autoinfligidas;Mujeres;De 80 a 84 años;3
Total Nacional;Andalucia; Suicidio y lesiones autoinfligidas;Mujeres;De 85 a 89 años;3
Total Nacional;Andalucia; Suicidio y lesiones autoinfligidas;Mujeres;De 90 a 94 años;2
Total Nacional;Andalucia; Suicidio y lesiones autoinfligidas;Mujeres;De 95 años y mas;0
Total Nacional;Aragon; Suicidio y lesiones autoinfligidas;Ambos sexos;Todas las edades;54
Total Nacional;Aragon; Suicidio y lesiones autoinfligidas;Ambos sexos;Menores de 1 año;0
Total Nacional;Aragon; Suicidio y lesiones autoinfligidas;Ambos sexos;De 1 a 14 años;0
Total Nacional;Aragon; Suicidio y lesiones autoinfligidas;Ambos sexos;De 15 a 29 años;9
Total Nacional;Aragon; Suicidio y lesiones autoinfligidas;Ambos sexos;De 30 a 39 años;6
Total Nacional;Aragon; Suicidio y lesiones autoinfligidas;Ambos sexos;De 40 a 44 años;2
Total Nacional;Aragon; Suicidio y lesiones autoinfligidas;Ambos sexos;De 45 a 49 años;7
Total Nacional;Aragon; Suicidio y lesiones autoinfligidas;Ambos sexos;De 50 a 54 años;6
Total Nacional;Aragon; Suicidio y lesiones autoinfligidas;Ambos sexos;De 55 a 59 años;5
Total Nacional;Aragon; Suicidio y lesiones autoinfligidas;Ambos sexos;De 60 a 64 años;2
Total Nacional;Aragon; Suicidio y lesiones autoinfligidas;Ambos sexos;De 65 a 69 años;2
Total Nacional;Aragon; Suicidio y lesiones autoinfligidas;Ambos sexos;De 70 a 74 años;5
Total Nacional;Aragon; Suicidio y lesiones autoinfligidas;Ambos sexos;De 75 a 79 años;3
Total Nacional;Aragon; Suicidio y lesiones autoinfligidas;Ambos sexos;De 80 a 84 años;2
Total Nacional;Aragon; Suicidio y lesiones autoinfligidas;Ambos sexos;De 85 a 89 años;4
Total Nacional;Aragon; Suicidio y lesiones autoinfligidas;Ambos sexos;De 90 a 94 años;0
Total Nacional;Aragon; Suicidio y lesiones autoinfligidas;Ambos sexos;De 95 años y mas;1
Total Nacional;Aragon; Suicidio y lesiones autoinfligidas;Hombres;Todas las edades;46
Total Nacional;Aragon; Suicidio y lesiones autoinfligidas;Hombres;Menores de 1 año;0
Total Nacional;Aragon; Suicidio y lesiones autoinfligidas;Hombres;De 1 a 14 años;0
Total Nacional;Aragon; Suicidio y lesiones autoinfligidas;Hombres;De 15 a 29 años;6
Total Nacional;Aragon; Suicidio y lesiones autoinfligidas;Hombres;De 30 a 39 años;5
Total Nacional;Aragon; Suicidio y lesiones autoinfligidas;Hombres;De 40 a 44 años;2
Total Nacional;Aragon; Suicidio y lesiones autoinfligidas;Hombres;De 45 a 49 años;5
Total Nacional;Aragon; Suicidio y lesiones autoinfligidas;Hombres;De 50 a 54 años;6
Total Nacional;Aragon; Suicidio y lesiones autoinfligidas;Hombres;De 55 a 59 años;5
Total Nacional;Aragon; Suicidio y lesiones autoinfligidas;Hombres;De 60 a 64 años;2
Total Nacional;Aragon; Suicidio y lesiones autoinfligidas;Hombres;De 65 a 69 años;1
Total Nacional;Aragon; Suicidio y lesiones autoinfligidas;Hombres;De 70 a 74 años;5
Total Nacional;Aragon; Suicidio y lesiones autoinfligidas;Hombres;De 75 a 79 años;3
Total Nacional;Aragon; Suicidio y lesiones autoinfligidas;Hombres;De 80 a 84 años;2
Total Nacional;Aragon; Suicidio y lesiones autoinfligidas;Hombres;De 85 a 89 años;3
Total Nacional;Aragon; Suicidio y lesiones autoinfligidas;Hombres;De 90 a 94 años;0
Total Nacional;Aragon; Suicidio y lesiones autoinfligidas;Hombres;De 95 años y mas;1
Total Nacional;Aragon; Suicidio y lesiones autoinfligidas;Mujeres;Todas las edades;8
Total Nacional;Aragon; Suicidio y lesiones autoinfligidas;Mujeres;Menores de 1 año;0
Total Nacional;Aragon; Suicidio y lesiones autoinfligidas;Mujeres;De 1 a 14 años;0
Total Nacional;Aragon; Suicidio y lesiones autoinfligidas;Mujeres;De 15 a 29 años;3
Total Nacional;Aragon; Suicidio y lesiones autoinfligidas;Mujeres;De 30 a 39 años;1
Total Nacional;Aragon; Suicidio y lesiones autoinfligidas;Mujeres;De 40 a 44 años;0
Total Nacional;Aragon; Suicidio y lesiones autoinfligidas;Mujeres;De 45 a 49 años;2
Total Nacional;Aragon; Suicidio y lesiones autoinfligidas;Mujeres;De 50 a 54 años;0
Total Nacional;Aragon; Suicidio y lesiones autoinfligidas;Mujeres;De 55 a 59 años;0
Total Nacional;Aragon; Suicidio y lesiones autoinfligidas;Mujeres;De 60 a 64 años;0
Total Nacional;Aragon; Suicidio y lesiones autoinfligidas;Mujeres;De 65 a 69 años;1
Total Nacional;Aragon; Suicidio y lesiones autoinfligidas;Mujeres;De 70 a 74 años;0
Total Nacional;Aragon; Suicidio y lesiones autoinfligidas;Mujeres;De 75 a 79 años;0
Total Nacional;Aragon; Suicidio y lesiones autoinfligidas;Mujeres;De 80 a 84 años;0
Total Nacional;Aragon; Suicidio y lesiones autoinfligidas;Mujeres;De 85 a 89 años;1
Total Nacional;Aragon; Suicidio y lesiones autoinfligidas;Mujeres;De 90 a 94 años;0
Total Nacional;Aragon; Suicidio y lesiones autoinfligidas;Mujeres;De 95 años y mas;0
Total Nacional;Asturias, Principado de; Suicidio y lesiones autoinfligidas;Ambos sexos;Todas las edades;65
Total Nacional;Asturias, Principado de; Suicidio y lesiones autoinfligidas;Ambos sexos;Menores de 1 año;0
Total Nacional;Asturias, Principado de; Suicidio y lesiones autoinfligidas;Ambos sexos;De 1 a 14 años;0
Total Nacional;Asturias, Principado de; Suicidio y lesiones autoinfligidas;Ambos sexos;De 15 a 29 años;5
Total Nacional;Asturias, Principado de; Suicidio y lesiones autoinfligidas;Ambos sexos;De 30 a 39 años;7
Total Nacional;Asturias, Principado de; Suicidio y lesiones autoinfligidas;Ambos sexos;De 40 a 44 años;3
Total Nacional;Asturias, Principado de; Suicidio y lesiones autoinfligidas;Ambos sexos;De 45 a 49 años;6
Total Nacional;Asturias, Principado de; Suicidio y lesiones autoinfligidas;Ambos sexos;De 50 a 54 años;5
Total Nacional;Asturias, Principado de; Suicidio y lesiones autoinfligidas;Ambos sexos;De 55 a 59 años;9
Total Nacional;Asturias, Principado de; Suicidio y lesiones autoinfligidas;Ambos sexos;De 60 a 64 años;4
Total Nacional;Asturias, Principado de; Suicidio y lesiones autoinfligidas;Ambos sexos;De 65 a 69 años;9
Total Nacional;Asturias, Principado de; Suicidio y lesiones autoinfligidas;Ambos sexos;De 70 a 74 años;3
Total Nacional;Asturias, Principado de; Suicidio y lesiones autoinfligidas;Ambos sexos;De 75 a 79 años;3
Total Nacional;Asturias, Principado de; Suicidio y lesiones autoinfligidas;Ambos sexos;De 80 a 84 años;2
Total Nacional;Asturias, Principado de; Suicidio y lesiones autoinfligidas;Ambos sexos;De 85 a 89 años;5
Total Nacional;Asturias, Principado de; Suicidio y lesiones autoinfligidas;Ambos sexos;De 90 a 94 años;2
Total Nacional;Asturias, Principado de; Suicidio y lesiones autoinfligidas;Ambos sexos;De 95 años y mas;2
Total Nacional;Asturias, Principado de; Suicidio y lesiones autoinfligidas;Hombres;Todas las edades;47
Total Nacional;Asturias, Principado de; Suicidio y lesiones autoinfligidas;Hombres;Menores de 1 año;0
Total Nacional;Asturias, Principado de; Suicidio y lesiones autoinfligidas;Hombres;De 1 a 14 años;0
Total Nacional;Asturias, Principado de; Suicidio y lesiones autoinfligidas;Hombres;De 15 a 29 años;3
Total Nacional;Asturias, Principado de; Suicidio y lesiones autoinfligidas;Hombres;De 30 a 39 años;7
Total Nacional;Asturias, Principado de; Suicidio y lesiones autoinfligidas;Hombres;De 40 a 44 años;2
Total Nacional;Asturias, Principado de; Suicidio y lesiones autoinfligidas;Hombres;De 45 a 49 años;4
Total Nacional;Asturias, Principado de; Suicidio y lesiones autoinfligidas;Hombres;De 50 a 54 años;4
Total Nacional;Asturias, Principado de; Suicidio y lesiones autoinfligidas;Hombres;De 55 a 59 años;6
Total Nacional;Asturias, Principado de; Suicidio y lesiones autoinfligidas;Hombres;De 60 a 64 años;3
Total Nacional;Asturias, Principado de; Suicidio y lesiones autoinfligidas;Hombres;De 65 a 69 años;8
Total Nacional;Asturias, Principado de; Suicidio y lesiones autoinfligidas;Hombres;De 70 a 74 años;0
Total Nacional;Asturias, Principado de; Suicidio y lesiones autoinfligidas;Hombres;De 75 a 79 años;2
Total Nacional;Asturias, Principado de; Suicidio y lesiones autoinfligidas;Hombres;De 80 a 84 años;1
Total Nacional;Asturias, Principado de; Suicidio y lesiones autoinfligidas;Hombres;De 85 a 89 años;4
Total Nacional;Asturias, Principado de; Suicidio y lesiones autoinfligidas;Hombres;De 90 a 94 años;1
Total Nacional;Asturias, Principado de; Suicidio y lesiones autoinfligidas;Hombres;De 95 años y mas;2
Total Nacional;Asturias, Principado de; Suicidio y lesiones autoinfligidas;Mujeres;Todas las edades;18
Total Nacional;Asturias, Principado de; Suicidio y lesiones autoinfligidas;Mujeres;Menores de 1 año;0
Total Nacional;Asturias, Principado de; Suicidio y lesiones autoinfligidas;Mujeres;De 1 a 14 años;0
Total Nacional;Asturias, Principado de; Suicidio y lesiones autoinfligidas;Mujeres;De 15 a 29 años;2
Total Nacional;Asturias, Principado de; Suicidio y lesiones autoinfligidas;Mujeres;De 30 a 39 años;0
Total Nacional;Asturias, Principado de; Suicidio y lesiones autoinfligidas;Mujeres;De 40 a 44 años;1
Total Nacional;Asturias, Principado de; Suicidio y lesiones autoinfligidas;Mujeres;De 45 a 49 años;2
Total Nacional;Asturias, Principado de; Suicidio y lesiones autoinfligidas;Mujeres;De 50 a 54 años;1
Total Nacional;Asturias, Principado de; Suicidio y lesiones autoinfligidas;Mujeres;De 55 a 59 años;3
Total Nacional;Asturias, Principado de; Suicidio y lesiones autoinfligidas;Mujeres;De 60 a 64 años;1
Total Nacional;Asturias, Principado de; Suicidio y lesiones autoinfligidas;Mujeres;De 65 a 69 años;1
Total Nacional;Asturias, Principado de; Suicidio y lesiones autoinfligidas;Mujeres;De 70 a 74 años;3
Total Nacional;Asturias, Principado de; Suicidio y lesiones autoinfligidas;Mujeres;De 75 a 79 años;1
Total Nacional;Asturias, Principado de; Suicidio y lesiones autoinfligidas;Mujeres;De 80 a 84 años;1
Total Nacional;Asturias, Principado de; Suicidio y lesiones autoinfligidas;Mujeres;De 85 a 89 años;1
Total Nacional;Asturias, Principado de; Suicidio y lesiones autoinfligidas;Mujeres;De 90 a 94 años;1
Total Nacional;Asturias, Principado de; Suicidio y lesiones autoinfligidas;Mujeres;De 95 años y mas;0
Total Nacional;Balears, Illes; Suicidio y lesiones autoinfligidas;Ambos sexos;Todas las edades;45
Total Nacional;Balears, Illes; Suicidio y lesiones autoinfligidas;Ambos sexos;Menores de 1 año;0
Total Nacional;Balears, Illes; Suicidio y lesiones autoinfligidas;Ambos sexos;De 1 a 14 años;0
Total Nacional;Balears, Illes; Suicidio y lesiones autoinfligidas;Ambos sexos;De 15 a 29 años;4
Total Nacional;Balears, Illes; Suicidio y lesiones autoinfligidas;Ambos sexos;De 30 a 39 años;6
Total Nacional;Balears, Illes; Suicidio y lesiones autoinfligidas;Ambos sexos;De 40 a 44 años;3
Total Nacional;Balears, Illes; Suicidio y lesiones autoinfligidas;Ambos sexos;De 45 a 49 años;4
Total Nacional;Balears, Illes; Suicidio y lesiones autoinfligidas;Ambos sexos;De 50 a 54 años;5
Total Nacional;Balears, Illes; Suicidio y lesiones autoinfligidas;Ambos sexos;De 55 a 59 años;4
Total Nacional;Balears, Illes; Suicidio y lesiones autoinfligidas;Ambos sexos;De 60 a 64 años;7
Total Nacional;Balears, Illes; Suicidio y lesiones autoinfligidas;Ambos sexos;De 65 a 69 años;3
Total Nacional;Balears, Illes; Suicidio y lesiones autoinfligidas;Ambos sexos;De 70 a 74 años;1
Total Nacional;Balears, Illes; Suicidio y lesiones autoinfligidas;Ambos sexos;De 75 a 79 años;6
Total Nacional;Balears, Illes; Suicidio y lesiones autoinfligidas;Ambos sexos;De 80 a 84 años;2
Total Nacional;Balears, Illes; Suicidio y lesiones autoinfligidas;Ambos sexos;De 85 a 89 años;0
Total Nacional;Balears, Illes; Suicidio y lesiones autoinfligidas;Ambos sexos;De 90 a 94 años;0
Total Nacional;Balears, Illes; Suicidio y lesiones autoinfligidas;Ambos sexos;De 95 años y mas;0
Total Nacional;Balears, Illes; Suicidio y lesiones autoinfligidas;Hombres;Todas las edades;28
Total Nacional;Balears, Illes; Suicidio y lesiones autoinfligidas;Hombres;Menores de 1 año;0
Total Nacional;Balears, Illes; Suicidio y lesiones autoinfligidas;Hombres;De 1 a 14 años;0
Total Nacional;Balears, Illes; Suicidio y lesiones autoinfligidas;Hombres;De 15 a 29 años;2
Total Nacional;Balears, Illes; Suicidio y lesiones autoinfligidas;Hombres;De 30 a 39 años;3
Total Nacional;Balears, Illes; Suicidio y lesiones autoinfligidas;Hombres;De 40 a 44 años;1
