Edad;Sexo;Total
Todas las edades;Ambos sexos;3.941
Todas las edades;Hombres;2.930
Todas las edades;Mujeres;1.011
Menores de 15 años;Ambos sexos;14
Menores de 15 años;Hombres;7
Menores de 15 años;Mujeres;7
De 15 a 29 años;Ambos sexos;300
De 15 a 29 años;Hombres;227
De 15 a 29 años;Mujeres;73
De 30 a 39 años;Ambos sexos;411
De 30 a 39 años;Hombres;313
De 30 a 39 años;Mujeres;98
De 40 a 44 años;Ambos sexos;358
De 40 a 44 años;Hombres;275
De 40 a 44 años;Mujeres;83
De 45 a 49 años;Ambos sexos;396
De 45 a 49 años;Hombres;301
De 45 a 49 años;Mujeres;95
De 50 a 54 años;Ambos sexos;440
De 50 a 54 años;Hombres;323
De 50 a 54 años;Mujeres;117
De 55 a 59 años;Ambos sexos;414
De 55 a 59 años;Hombres;277
De 55 a 59 años;Mujeres;137
De 60 a 64 años;Ambos sexos;327
De 60 a 64 años;Hombres;239
De 60 a 64 años;Mujeres;88
De 65 a 69 años;Ambos sexos;245
De 65 a 69 años;Hombres;186
De 65 a 69 años;Mujeres;59
De 70 a 74 años;Ambos sexos;264
De 70 a 74 años;Hombres;192
De 70 a 74 años;Mujeres;72
De 75 a 79 años;Ambos sexos;224
De 75 a 79 años;Hombres;162
De 75 a 79 años;Mujeres;62
De 80 a 84 años;Ambos sexos;240
De 80 a 84 años;Hombres;184
De 80 a 84 años;Mujeres;56
De 85 a 89 años;Ambos sexos;185
De 85 a 89 años;Hombres;146
De 85 a 89 años;Mujeres;39
De 90 a 94 años;Ambos sexos;98
De 90 a 94 años;Hombres;77
De 90 a 94 años;Mujeres;21
De 95 años y más;Ambos sexos;25
De 95 años y más;Hombres;21
De 95 años y más;Mujeres;4
