Causas (lista reducida);Sexo;Edad;Total
098 Suicidio y lesiones autoinfligidas;Ambos sexos;Todas las edades;2.015
098 Suicidio y lesiones autoinfligidas;Ambos sexos;Menores de 1 años;0
098 Suicidio y lesiones autoinfligidas;Ambos sexos;De 1 a 4 años;0
098 Suicidio y lesiones autoinfligidas;Ambos sexos;De 5 a 9 años;0
098 Suicidio y lesiones autoinfligidas;Ambos sexos;De 10 a 14 años;7
098 Suicidio y lesiones autoinfligidas;Ambos sexos;De 15 a 19 años;30
098 Suicidio y lesiones autoinfligidas;Ambos sexos;De 20 a 24 años;55
098 Suicidio y lesiones autoinfligidas;Ambos sexos;De 25 a 29 años;65
098 Suicidio y lesiones autoinfligidas;Ambos sexos;De 30 a 34 años;100
098 Suicidio y lesiones autoinfligidas;Ambos sexos;De 35 a 39 años;112
098 Suicidio y lesiones autoinfligidas;Ambos sexos;De 40 a 44 años;165
098 Suicidio y lesiones autoinfligidas;Ambos sexos;De 45 a 49 años;219
098 Suicidio y lesiones autoinfligidas;Ambos sexos;De 50 a 54 años;228
098 Suicidio y lesiones autoinfligidas;Ambos sexos;De 55 a 59 años;231
098 Suicidio y lesiones autoinfligidas;Ambos sexos;De 60 a 64 años;192
098 Suicidio y lesiones autoinfligidas;Ambos sexos;De 65 a 69 años;137
098 Suicidio y lesiones autoinfligidas;Ambos sexos;De 70 a 74 años;118
098 Suicidio y lesiones autoinfligidas;Ambos sexos;De 75 a 79 años;115
098 Suicidio y lesiones autoinfligidas;Ambos sexos;De 80 a 84 años;90
098 Suicidio y lesiones autoinfligidas;Ambos sexos;De 85 a 89 años;88
098 Suicidio y lesiones autoinfligidas;Ambos sexos;De 90 a 94 años;48
098 Suicidio y lesiones autoinfligidas;Ambos sexos;De 95 años y mas;15
098 Suicidio y lesiones autoinfligidas;Hombres;Todas las edades;1.481
098 Suicidio y lesiones autoinfligidas;Hombres;Menores de 1 años;0
098 Suicidio y lesiones autoinfligidas;Hombres;De 1 a 4 años;0
098 Suicidio y lesiones autoinfligidas;Hombres;De 5 a 9 años;0
098 Suicidio y lesiones autoinfligidas;Hombres;De 10 a 14 años;6
098 Suicidio y lesiones autoinfligidas;Hombres;De 15 a 19 años;15
098 Suicidio y lesiones autoinfligidas;Hombres;De 20 a 24 años;35
098 Suicidio y lesiones autoinfligidas;Hombres;De 25 a 29 años;37
098 Suicidio y lesiones autoinfligidas;Hombres;De 30 a 34 años;76
098 Suicidio y lesiones autoinfligidas;Hombres;De 35 a 39 años;86
098 Suicidio y lesiones autoinfligidas;Hombres;De 40 a 44 años;129
098 Suicidio y lesiones autoinfligidas;Hombres;De 45 a 49 años;173
098 Suicidio y lesiones autoinfligidas;Hombres;De 50 a 54 años;165
098 Suicidio y lesiones autoinfligidas;Hombres;De 55 a 59 años;163
098 Suicidio y lesiones autoinfligidas;Hombres;De 60 a 64 años;153
098 Suicidio y lesiones autoinfligidas;Hombres;De 65 a 69 años;98
098 Suicidio y lesiones autoinfligidas;Hombres;De 70 a 74 años;76
098 Suicidio y lesiones autoinfligidas;Hombres;De 75 a 79 años;90
098 Suicidio y lesiones autoinfligidas;Hombres;De 80 a 84 años;59
098 Suicidio y lesiones autoinfligidas;Hombres;De 85 a 89 años;73
098 Suicidio y lesiones autoinfligidas;Hombres;De 90 a 94 años;36
098 Suicidio y lesiones autoinfligidas;Hombres;De 95 años y mas;11
098 Suicidio y lesiones autoinfligidas;Mujeres;Todas las edades;534
098 Suicidio y lesiones autoinfligidas;Mujeres;Menores de 1 años;0
098 Suicidio y lesiones autoinfligidas;Mujeres;De 1 a 4 años;0
098 Suicidio y lesiones autoinfligidas;Mujeres;De 5 a 9 años;0
098 Suicidio y lesiones autoinfligidas;Mujeres;De 10 a 14 años;1
098 Suicidio y lesiones autoinfligidas;Mujeres;De 15 a 19 años;15
098 Suicidio y lesiones autoinfligidas;Mujeres;De 20 a 24 años;20
098 Suicidio y lesiones autoinfligidas;Mujeres;De 25 a 29 años;28
098 Suicidio y lesiones autoinfligidas;Mujeres;De 30 a 34 años;24
098 Suicidio y lesiones autoinfligidas;Mujeres;De 35 a 39 años;26
098 Suicidio y lesiones autoinfligidas;Mujeres;De 40 a 44 años;36
098 Suicidio y lesiones autoinfligidas;Mujeres;De 45 a 49 años;46
098 Suicidio y lesiones autoinfligidas;Mujeres;De 50 a 54 años;63
098 Suicidio y lesiones autoinfligidas;Mujeres;De 55 a 59 años;68
098 Suicidio y lesiones autoinfligidas;Mujeres;De 60 a 64 años;39
098 Suicidio y lesiones autoinfligidas;Mujeres;De 65 a 69 años;39
098 Suicidio y lesiones autoinfligidas;Mujeres;De 70 a 74 años;42
098 Suicidio y lesiones autoinfligidas;Mujeres;De 75 a 79 años;25
098 Suicidio y lesiones autoinfligidas;Mujeres;De 80 a 84 años;31
098 Suicidio y lesiones autoinfligidas;Mujeres;De 85 a 89 años;15
098 Suicidio y lesiones autoinfligidas;Mujeres;De 90 a 94 años;12
098 Suicidio y lesiones autoinfligidas;Mujeres;De 95 años y mas;4
