Comunidad autónoma;Sexo;Edad;Total;Año
Andalucía;Ambos sexos;Todas las edades;653;2018
Andalucía;Ambos sexos;Todas las edades;640;2019
Andalucía;Ambos sexos;Todas las edades;793;2020
Andalucía;Ambos sexos;Todas las edades;849;2021
Aragón;Ambos sexos;Todas las edades;120;2018
Aragón;Ambos sexos;Todas las edades;109;2019
Aragón;Ambos sexos;Todas las edades;102;2020
Aragón;Ambos sexos;Todas las edades;114;2021
Asturias, Principado de;Ambos sexos;Todas las edades;138;2018
Asturias, Principado de;Ambos sexos;Todas las edades;128;2019
Asturias, Principado de;Ambos sexos;Todas las edades;122;2020
Asturias, Principado de;Ambos sexos;Todas las edades;130;2021
Balears, Illes;Ambos sexos;Todas las edades;71;2018
Balears, Illes;Ambos sexos;Todas las edades;97;2019
Balears, Illes;Ambos sexos;Todas las edades;87;2020
Balears, Illes;Ambos sexos;Todas las edades;89;2021
Canarias;Ambos sexos;Todas las edades;193;2018
Canarias;Ambos sexos;Todas las edades;197;2019
Canarias;Ambos sexos;Todas las edades;208;2020
Canarias;Ambos sexos;Todas las edades;230;2021
Cantabria;Ambos sexos;Todas las edades;28;2018
Cantabria;Ambos sexos;Todas las edades;36;2019
Cantabria;Ambos sexos;Todas las edades;46;2020
Cantabria;Ambos sexos;Todas las edades;48;2021
Castilla y León;Ambos sexos;Todas las edades;213;2018
Castilla y León;Ambos sexos;Todas las edades;218;2019
Castilla y León;Ambos sexos;Todas las edades;228;2020
Castilla y León;Ambos sexos;Todas las edades;236;2021
Castilla-La Mancha;Ambos sexos;Todas las edades;132;2018
Castilla-La Mancha;Ambos sexos;Todas las edades;152;2019
Castilla-La Mancha;Ambos sexos;Todas las edades;180;2020
Castilla - La Mancha;Ambos sexos;Todas las edades;169;2021
Cataluña;Ambos sexos;Todas las edades;522;2018
Cataluña;Ambos sexos;Todas las edades;535;2019
Cataluña;Ambos sexos;Todas las edades;556;2020
Cataluña;Ambos sexos;Todas las edades;576;2021
Comunitat Valenciana;Ambos sexos;Todas las edades;396;2018
Comunitat Valenciana;Ambos sexos;Todas las edades;450;2019
Comunitat Valenciana;Ambos sexos;Todas las edades;440;2020
Comunitat Valenciana;Ambos sexos;Todas las edades;4;2021
Extremadura;Ambos sexos;Todas las edades;70;2018
Extremadura;Ambos sexos;Todas las edades;79;2019
Extremadura;Ambos sexos;Todas las edades;92;2020
Extremadura;Ambos sexos;Todas las edades;81;2021
Galicia;Ambos sexos;Todas las edades;274;2018
Galicia;Ambos sexos;Todas las edades;292;2019
Galicia;Ambos sexos;Todas las edades;305;2020
Galicia;Ambos sexos;Todas las edades;337;2021
Madrid, Comunidad de;Ambos sexos;Todas las edades;342;2018
Madrid, Comunidad de;Ambos sexos;Todas las edades;350;2019
Madrid, Comunidad de;Ambos sexos;Todas las edades;373;2020
Madrid, Comunidad de;Ambos sexos;Todas las edades;348;2021
Murcia, Región de;Ambos sexos;Todas las edades;127;2018
Murcia, Región de;Ambos sexos;Todas las edades;125;2019
Murcia, Región de;Ambos sexos;Todas las edades;122;2020
Murcia, Región de;Ambos sexos;Todas las edades;123;2021
Navarra, Comunidad Foral de;Ambos sexos;Todas las edades;39;2018
Navarra, Comunidad Foral de;Ambos sexos;Todas las edades;46;2019
Navarra, Comunidad Foral de;Ambos sexos;Todas las edades;44;2020
Navarra, Comunidad Foral de;Ambos sexos;Todas las edades;60;2021
País Vasco;Ambos sexos;Todas las edades;163;2018
País Vasco;Ambos sexos;Todas las edades;137;2019
País Vasco;Ambos sexos;Todas las edades;179;2020
País Vasco;Ambos sexos;Todas las edades;147;2021
Rioja, La;Ambos sexos;Todas las edades;21;2018
Rioja, La;Ambos sexos;Todas las edades;29;2019
Rioja, La;Ambos sexos;Todas las edades;29;2020
Rioja, La;Ambos sexos;Todas las edades;24;2021
Ceuta;Ambos sexos;Todas las edades;1;2018
Ceuta;Ambos sexos;Todas las edades;4;2019
Ceuta;Ambos sexos;Todas las edades;4;2020
Ceuta;Ambos sexos;Todas las edades;4;2021
Melilla;Ambos sexos;Todas las edades;1;2018
Melilla;Ambos sexos;Todas las edades;1;2019
Melilla;Ambos sexos;Todas las edades;4;2020
Melilla;Ambos sexos;Todas las edades;4;2021
